file_path,label
data\processed\Pellorneum ruficeps\87_seg037.wav,Pellorneum ruficeps
data\processed\Pomatorhinus ruficollis\3_seg001.wav,Pomatorhinus ruficollis
data\processed\noise\Pellorneum_ruficeps__73__seg004.wav,noise
data\processed\Pellorneum ruficeps\50_seg016.wav,Pellorneum ruficeps
data\processed\Mystery mystery\183_seg000.wav,Mystery mystery
data\processed\Pomatorhinus ruficollis\17_seg013.wav,Pomatorhinus ruficollis
data\processed\Arborophila torqueola\6_seg022.wav,Arborophila torqueola
data\processed\Pomatorhinus ruficollis\40_seg001.wav,Pomatorhinus ruficollis
data\processed\Psittacula eupatria\18_seg001.wav,Psittacula eupatria
data\processed\Mystery mystery\387_seg003.wav,Mystery mystery
data\processed\Arborophila torqueola\13_seg020.wav,Arborophila torqueola
data\processed\Mystery mystery\43_seg039.wav,Mystery mystery
data\processed\Sturnia malabarica\16_seg030.wav,Sturnia malabarica
data\processed\Alcippe cinerea\8_seg003.wav,Alcippe cinerea
data\processed\Argya longirostris\7_seg020.wav,Argya longirostris
data\processed\Mystery mystery\312_seg022.wav,Mystery mystery
data\processed\Cyornis concretus\1_seg006.wav,Cyornis concretus
data\processed\Psittacula eupatria\28_seg022.wav,Psittacula eupatria
data\processed\Chelidorhynx hypoxanthus\9_seg006.wav,Chelidorhynx hypoxanthus
data\processed\Glaucidium cuculoides\32_seg003.wav,Glaucidium cuculoides
data\processed\Pomatorhinus ruficollis\4_seg000.wav,Pomatorhinus ruficollis
data\processed\Rimator malacoptilus\12_seg012.wav,Rimator malacoptilus
data\processed\Pomatorhinus ruficollis\41_seg009.wav,Pomatorhinus ruficollis
data\processed\Mystery mystery\111_seg000.wav,Mystery mystery
data\processed\Arborophila torqueola\28_seg033.wav,Arborophila torqueola
data\processed\Mystery mystery\6_seg005.wav,Mystery mystery
data\processed\Mystery mystery\245_seg006.wav,Mystery mystery
data\processed\noise\Pnoepyga_pusilla__22__seg001.wav,noise
data\processed\Mystery mystery\5_seg019.wav,Mystery mystery
data\processed\Dicrurus andamanensis\7_seg001.wav,Dicrurus andamanensis
data\processed\Cyornis poliogenys\16_seg005.wav,Cyornis poliogenys
data\processed\Stachyridopsis ambigua\10_seg008.wav,Stachyridopsis ambigua
data\processed\Pnoepyga pusilla\2_seg002.wav,Pnoepyga pusilla
data\processed\Mystery mystery\85_seg002.wav,Mystery mystery
data\processed\Pomatorhinus ruficollis\24_seg050.wav,Pomatorhinus ruficollis
data\processed\Cyornis unicolor\25_seg023.wav,Cyornis unicolor
data\processed\Dicaeum cruentatum\3_seg006.wav,Dicaeum cruentatum
data\processed\Mystery mystery\19_seg018.wav,Mystery mystery
data\processed\Pellorneum ruficeps\67_seg000.wav,Pellorneum ruficeps
data\processed\Mystery mystery\315_seg006.wav,Mystery mystery
data\processed\Mystery mystery\200_seg000.wav,Mystery mystery
data\processed\Aethopyga gouldiae\3_seg005.wav,Aethopyga gouldiae
data\processed\Acridotheres fuscus\12_seg000.wav,Acridotheres fuscus
data\processed\Chloropsis\14_seg102.wav,Chloropsis
data\processed\Pellorneum ruficeps\1_seg000.wav,Pellorneum ruficeps
data\processed\Pomatorhinus ruficollis\24_seg027.wav,Pomatorhinus ruficollis
data\processed\Lanius tephronotus\5_seg009.wav,Lanius tephronotus
data\processed\Mystery mystery\256_seg030.wav,Mystery mystery
data\processed\Mystery mystery\410_seg040.wav,Mystery mystery
data\processed\Sphenocichla humei\5_seg001.wav,Sphenocichla humei
data\processed\noise\Sturnia_malabarica__16__seg005.wav,noise
data\processed\Loriculus vernalis\8_seg011.wav,Loriculus vernalis
data\processed\Aethopyga gouldiae\2_seg005.wav,Aethopyga gouldiae
data\processed\Cyornis unicolor\11_seg024.wav,Cyornis unicolor
data\processed\Cuculus micropterus\36_seg003.wav,Cuculus micropterus
data\processed\Mystery mystery\127_seg017.wav,Mystery mystery
data\processed\Cyornis unicolor\4_seg026.wav,Cyornis unicolor
data\processed\Mystery mystery\50_seg000.wav,Mystery mystery
data\processed\Chloropsis jerdoni\1_seg008.wav,Chloropsis jerdoni
data\processed\Arborophila torqueola\12_seg021.wav,Arborophila torqueola
data\processed\Chelidorhynx hypoxanthus\15_seg008.wav,Chelidorhynx hypoxanthus
data\processed\Mystery mystery\362_seg007.wav,Mystery mystery
data\processed\Argya longirostris\11_seg001.wav,Argya longirostris
data\processed\Mystery mystery\91_seg004.wav,Mystery mystery
data\processed\Mystery mystery\443_seg003.wav,Mystery mystery
data\processed\Mystery mystery\325_seg023.wav,Mystery mystery
data\processed\Polyplectron bicalcaratum\6_seg019.wav,Polyplectron bicalcaratum
data\processed\Mystery mystery\17_seg001.wav,Mystery mystery
data\processed\Cyornis poliogenys\10_seg017.wav,Cyornis poliogenys
data\processed\Liocichla phoenicea\21_seg002.wav,Liocichla phoenicea
data\processed\Mystery mystery\106_seg000.wav,Mystery mystery
data\processed\Chloropsis\14_seg053.wav,Chloropsis
data\processed\Phylloscopus forresti\6_seg002.wav,Phylloscopus forresti
data\processed\Mystery mystery\263_seg003.wav,Mystery mystery
data\processed\Mystery mystery\325_seg043.wav,Mystery mystery
data\processed\Alcippe cinerea\17_seg014.wav,Alcippe cinerea
data\processed\Mystery mystery\376_seg006.wav,Mystery mystery
data\processed\Glaucidium cuculoides\8_seg002.wav,Glaucidium cuculoides
data\processed\Alcippe cinerea\1_seg007.wav,Alcippe cinerea
data\processed\Mystery mystery\9_seg004.wav,Mystery mystery
data\processed\Loriculus vernalis\18_seg007.wav,Loriculus vernalis
data\processed\noise\Psittacula_eupatria__5__seg016.wav,noise
data\processed\Mystery mystery\297_seg002.wav,Mystery mystery
data\processed\Aethopyga gouldiae\4_seg002.wav,Aethopyga gouldiae
data\processed\Mystery mystery\310_seg000.wav,Mystery mystery
data\processed\Mystery mystery\389_seg007.wav,Mystery mystery
data\processed\Pellorneum ruficeps\79_seg004.wav,Pellorneum ruficeps
data\processed\Mystery mystery\19_seg076.wav,Mystery mystery
data\processed\Mystery mystery\187_seg002.wav,Mystery mystery
data\processed\Arborophila torqueola\28_seg028.wav,Arborophila torqueola
data\processed\Mystery mystery\413_seg010.wav,Mystery mystery
data\processed\Cyornis unicolor\27_seg010.wav,Cyornis unicolor
data\processed\noise\Spelaeornis_oatesi__5__seg017.wav,noise
data\processed\Mystery mystery\241_seg002.wav,Mystery mystery
data\processed\Chloropsis\9_seg010.wav,Chloropsis
data\processed\Cyornis poliogenys\11_seg005.wav,Cyornis poliogenys
data\processed\Pomatorhinus ruficollis\16_seg015.wav,Pomatorhinus ruficollis
data\processed\Mystery mystery\34_seg017.wav,Mystery mystery
data\processed\Pellorneum ruficeps\87_seg014.wav,Pellorneum ruficeps
data\processed\Mystery mystery\115_seg031.wav,Mystery mystery
data\processed\Mystery mystery\33_seg000.wav,Mystery mystery
data\processed\Halcyon coromanda\6_seg004.wav,Halcyon coromanda
data\processed\Argya longirostris\11_seg010.wav,Argya longirostris
data\processed\Psittacula eupatria\6_seg003.wav,Psittacula eupatria
data\processed\Alcippe cinerea\9_seg000.wav,Alcippe cinerea
data\processed\noise\Pellorneum_ruficeps__78__seg010.wav,noise
data\processed\Riparia chinensis\3_seg001.wav,Riparia chinensis
data\processed\Glaucidium cuculoides\41_seg000.wav,Glaucidium cuculoides
data\processed\Psittacula eupatria\22_seg004.wav,Psittacula eupatria
data\processed\Dicaeum cruentatum\1_seg012.wav,Dicaeum cruentatum
data\processed\noise\Mystery_mystery__124__seg026.wav,noise
data\processed\Psilopogon lineatus\5_seg006.wav,Psilopogon lineatus
data\processed\noise\Mystery_mystery__300__seg057.wav,noise
data\processed\Mystery mystery\371_seg004.wav,Mystery mystery
data\processed\Motacilla citreola\12_seg000.wav,Motacilla citreola
data\processed\noise\Mystery_mystery__73__seg000.wav,noise
data\processed\Liocichla phoenicea\9_seg003.wav,Liocichla phoenicea
data\processed\Pomatorhinus ruficollis\9_seg004.wav,Pomatorhinus ruficollis
data\processed\Cyornis poliogenys\14_seg000.wav,Cyornis poliogenys
data\processed\Mystery mystery\248_seg009.wav,Mystery mystery
data\processed\Mystery mystery\340_seg000.wav,Mystery mystery
data\processed\Alcippe cinerea\18_seg013.wav,Alcippe cinerea
data\processed\noise\Cuculus_micropterus__35__seg021.wav,noise
data\processed\Cyornis magnirostris\5_seg010.wav,Cyornis magnirostris
data\processed\Glaucidium cuculoides\31_seg013.wav,Glaucidium cuculoides
data\processed\Mystery mystery\371_seg000.wav,Mystery mystery
data\processed\Arborophila torqueola\3_seg005.wav,Arborophila torqueola
data\processed\noise\Cyornis_poliogenys__23__seg004.wav,noise
data\processed\noise\Chloropsis__1__seg009.wav,noise
data\processed\Mystery mystery\287_seg002.wav,Mystery mystery
data\processed\Pnoepyga pusilla\5_seg007.wav,Pnoepyga pusilla
data\processed\noise\Cyornis_poliogenys__11__seg009.wav,noise
data\processed\Chloropsis jerdoni\10_seg001.wav,Chloropsis jerdoni
data\processed\Pellorneum ruficeps\10_seg003.wav,Pellorneum ruficeps
data\processed\Mystery mystery\184_seg000.wav,Mystery mystery
data\processed\Mystery mystery\310_seg021.wav,Mystery mystery
data\processed\Cyornis unicolor\8_seg011.wav,Cyornis unicolor
data\processed\Mystery mystery\35_seg004.wav,Mystery mystery
data\processed\Centropus andamanensis\6_seg005.wav,Centropus andamanensis
data\processed\Locustella davidi\2_seg005.wav,Locustella davidi
data\processed\Mystery mystery\9_seg041.wav,Mystery mystery
data\processed\noise\Cyornis_magnirostris__5__seg013.wav,noise
data\processed\Mystery mystery\320_seg005.wav,Mystery mystery
data\processed\Pellorneum ruficeps\94_seg006.wav,Pellorneum ruficeps
data\processed\Dicaeum cruentatum\1_seg015.wav,Dicaeum cruentatum
data\processed\Pnoepyga pusilla\17_seg001.wav,Pnoepyga pusilla
data\processed\Liocichla phoenicea\5_seg008.wav,Liocichla phoenicea
data\processed\Arachnothera magna\2_seg004.wav,Arachnothera magna
data\processed\Stachyridopsis ambigua\14_seg000.wav,Stachyridopsis ambigua
data\processed\Macronus gularis\16_seg003.wav,Macronus gularis
data\processed\Acridotheres fuscus\5_seg016.wav,Acridotheres fuscus
data\processed\Mystery mystery\185_seg000.wav,Mystery mystery
data\processed\Psilopogon lineatus\14_seg000.wav,Psilopogon lineatus
data\processed\Cyornis unicolor\7_seg001.wav,Cyornis unicolor
data\processed\Dicaeum minullum\6_seg002.wav,Dicaeum minullum
data\processed\Chelidorhynx hypoxanthus\12_seg015.wav,Chelidorhynx hypoxanthus
data\processed\Glaucidium cuculoides\13_seg000.wav,Glaucidium cuculoides
data\processed\Acridotheres fuscus\8_seg002.wav,Acridotheres fuscus
data\processed\Arborophila torqueola\13_seg003.wav,Arborophila torqueola
data\processed\Pnoepyga pusilla\1_seg000.wav,Pnoepyga pusilla
data\processed\Pnoepyga pusilla\19_seg012.wav,Pnoepyga pusilla
data\processed\Phylloscopus inornatus\7_seg004.wav,Phylloscopus inornatus
data\processed\Mystery mystery\37_seg008.wav,Mystery mystery
data\processed\Macronus gularis\5_seg002.wav,Macronus gularis
data\processed\Mystery mystery\417_seg001.wav,Mystery mystery
data\processed\noise\Arborophila_torqueola__4__seg016.wav,noise
data\processed\Mystery mystery\371_seg002.wav,Mystery mystery
data\processed\Pnoepyga pusilla\22_seg014.wav,Pnoepyga pusilla
data\processed\Sphenocichla humei\11_seg008.wav,Sphenocichla humei
data\processed\Mystery mystery\369_seg004.wav,Mystery mystery
data\processed\Stachyridopsis ambigua\13_seg016.wav,Stachyridopsis ambigua
data\processed\Chelidorhynx hypoxanthus\11_seg002.wav,Chelidorhynx hypoxanthus
data\processed\Mystery mystery\109_seg002.wav,Mystery mystery
data\processed\Polyplectron bicalcaratum\9_seg000.wav,Polyplectron bicalcaratum
data\processed\Alcippe cinerea\2_seg009.wav,Alcippe cinerea
data\processed\Cyornis poliogenys\5_seg012.wav,Cyornis poliogenys
data\processed\Arborophila torqueola\5_seg004.wav,Arborophila torqueola
data\processed\Mystery mystery\386_seg004.wav,Mystery mystery
data\processed\Mystery mystery\300_seg051.wav,Mystery mystery
data\processed\Mystery mystery\311_seg011.wav,Mystery mystery
data\processed\Mystery mystery\293_seg002.wav,Mystery mystery
data\processed\Pellorneum ruficeps\62_seg007.wav,Pellorneum ruficeps
data\processed\Mystery mystery\415_seg010.wav,Mystery mystery
data\processed\noise\Rimator_malacoptilus__20__seg006.wav,noise
data\processed\Cyornis unicolor\17_seg007.wav,Cyornis unicolor
data\processed\Rimator malacoptilus\19_seg001.wav,Rimator malacoptilus
data\processed\noise\Chloropsis__16__seg012.wav,noise
data\processed\noise\Pomatorhinus_ruficollis__33__seg000.wav,noise
data\processed\Cyornis unicolor\1_seg003.wav,Cyornis unicolor
data\processed\Macronus gularis\22_seg005.wav,Macronus gularis
data\processed\noise\Glaucidium_cuculoides__8__seg007.wav,noise
data\processed\Macronus gularis\21_seg026.wav,Macronus gularis
data\processed\Mystery mystery\336_seg071.wav,Mystery mystery
data\processed\Mystery mystery\296_seg011.wav,Mystery mystery
data\processed\Pellorneum ruficeps\49_seg005.wav,Pellorneum ruficeps
data\processed\Mystery mystery\365_seg010.wav,Mystery mystery
data\processed\Mystery mystery\127_seg044.wav,Mystery mystery
data\processed\Psittacula eupatria\25_seg001.wav,Psittacula eupatria
data\processed\Cuculus micropterus\43_seg008.wav,Cuculus micropterus
data\processed\Paradoxornis guttaticollis\1_seg012.wav,Paradoxornis guttaticollis
data\processed\Sturnia malabarica\12_seg000.wav,Sturnia malabarica
data\processed\noise\Chloropsis__14__seg107.wav,noise
data\processed\Mystery mystery\16_seg017.wav,Mystery mystery
data\processed\Pomatorhinus ruficollis\4_seg006.wav,Pomatorhinus ruficollis
data\processed\Dicaeum minullum\1_seg007.wav,Dicaeum minullum
data\processed\Liocichla phoenicea\8_seg001.wav,Liocichla phoenicea
data\processed\Sphenocichla humei\6_seg014.wav,Sphenocichla humei
data\processed\Mystery mystery\360_seg020.wav,Mystery mystery
data\processed\Arborophila torqueola\1_seg005.wav,Arborophila torqueola
data\processed\Cyornis unicolor\23_seg012.wav,Cyornis unicolor
data\processed\Phylloscopus inornatus\8_seg013.wav,Phylloscopus inornatus
data\processed\Glaucidium cuculoides\31_seg014.wav,Glaucidium cuculoides
data\processed\Acridotheres fuscus\1_seg005.wav,Acridotheres fuscus
data\processed\Mystery mystery\343_seg011.wav,Mystery mystery
data\processed\Loriculus vernalis\27_seg027.wav,Loriculus vernalis
data\processed\Arborophila torqueola\1_seg002.wav,Arborophila torqueola
data\processed\Mystery mystery\301_seg017.wav,Mystery mystery
data\processed\Phylloscopus forresti\2_seg006.wav,Phylloscopus forresti
data\processed\Mystery mystery\103_seg002.wav,Mystery mystery
data\processed\Arborophila torqueola\24_seg014.wav,Arborophila torqueola
data\processed\Mystery mystery\267_seg012.wav,Mystery mystery
data\processed\Pomatorhinus ruficollis\37_seg006.wav,Pomatorhinus ruficollis
data\processed\Loriculus vernalis\25_seg010.wav,Loriculus vernalis
data\processed\Glaucidium cuculoides\2_seg003.wav,Glaucidium cuculoides
data\processed\Cyornis poliogenys\12_seg002.wav,Cyornis poliogenys
data\processed\noise\Pellorneum_ruficeps__74__seg039.wav,noise
data\processed\Cuculus micropterus\56_seg008.wav,Cuculus micropterus
data\processed\Psittacula eupatria\8_seg018.wav,Psittacula eupatria
data\processed\Cuculus micropterus\62_seg000.wav,Cuculus micropterus
data\processed\Mystery mystery\431_seg020.wav,Mystery mystery
data\processed\Mystery mystery\17_seg000.wav,Mystery mystery
data\processed\Mystery mystery\325_seg028.wav,Mystery mystery
data\processed\Mystery mystery\117_seg006.wav,Mystery mystery
data\processed\Mystery mystery\40_seg000.wav,Mystery mystery
data\processed\Pomatorhinus ruficollis\21_seg003.wav,Pomatorhinus ruficollis
data\processed\Pellorneum ruficeps\68_seg009.wav,Pellorneum ruficeps
data\processed\Argya longirostris\1_seg005.wav,Argya longirostris
data\processed\Cyornis unicolor\11_seg006.wav,Cyornis unicolor
data\processed\Rimator malacoptilus\7_seg004.wav,Rimator malacoptilus
data\processed\Arborophila torqueola\8_seg006.wav,Arborophila torqueola
data\processed\Mystery mystery\284_seg007.wav,Mystery mystery
data\processed\Mystery mystery\325_seg025.wav,Mystery mystery
data\processed\Chloropsis\14_seg037.wav,Chloropsis
data\processed\Cuculus micropterus\56_seg006.wav,Cuculus micropterus
data\processed\Mystery mystery\240_seg025.wav,Mystery mystery
data\processed\Pnoepyga pusilla\21_seg008.wav,Pnoepyga pusilla
data\processed\Psittacula eupatria\21_seg001.wav,Psittacula eupatria
data\processed\Mystery mystery\322_seg004.wav,Mystery mystery
data\processed\Arborophila torqueola\9_seg010.wav,Arborophila torqueola
data\processed\Motacilla citreola\18_seg003.wav,Motacilla citreola
data\processed\Mystery mystery\238_seg005.wav,Mystery mystery
data\processed\noise\Argya_longirostris__7__seg017.wav,noise
data\processed\Dicrurus andamanensis\12_seg002.wav,Dicrurus andamanensis
data\processed\Pomatorhinus ruficollis\3_seg005.wav,Pomatorhinus ruficollis
data\processed\Mystery mystery\428_seg042.wav,Mystery mystery
data\processed\Mystery mystery\300_seg050.wav,Mystery mystery
data\processed\Pellorneum ruficeps\56_seg000.wav,Pellorneum ruficeps
data\processed\Pellorneum ruficeps\102_seg014.wav,Pellorneum ruficeps
data\processed\Mystery mystery\284_seg005.wav,Mystery mystery
data\processed\Pellorneum ruficeps\91_seg004.wav,Pellorneum ruficeps
data\processed\Mystery mystery\16_seg039.wav,Mystery mystery
data\processed\Psilopogon lineatus\19_seg006.wav,Psilopogon lineatus
data\processed\Dicaeum cruentatum\1_seg001.wav,Dicaeum cruentatum
data\processed\Mystery mystery\376_seg014.wav,Mystery mystery
data\processed\Pellorneum ruficeps\32_seg043.wav,Pellorneum ruficeps
data\processed\Mystery mystery\373_seg080.wav,Mystery mystery
data\processed\Pnoepyga pusilla\18_seg002.wav,Pnoepyga pusilla
data\processed\Cyornis poliogenys\13_seg004.wav,Cyornis poliogenys
data\processed\Phylloscopus forresti\5_seg009.wav,Phylloscopus forresti
data\processed\Dicrurus andamanensis\13_seg001.wav,Dicrurus andamanensis
data\processed\Acridotheres fuscus\7_seg005.wav,Acridotheres fuscus
data\processed\Sturnia malabarica\16_seg013.wav,Sturnia malabarica
data\processed\Psittacula eupatria\4_seg002.wav,Psittacula eupatria
data\processed\Mystery mystery\35_seg025.wav,Mystery mystery
data\processed\Mystery mystery\416_seg000.wav,Mystery mystery
data\processed\Alcippe cinerea\10_seg016.wav,Alcippe cinerea
data\processed\Pellorneum ruficeps\19_seg002.wav,Pellorneum ruficeps
data\processed\Arborophila torqueola\23_seg007.wav,Arborophila torqueola
data\processed\Mystery mystery\56_seg015.wav,Mystery mystery
data\processed\Mystery mystery\223_seg017.wav,Mystery mystery
data\processed\Mystery mystery\234_seg004.wav,Mystery mystery
data\processed\Pnoepyga pusilla\16_seg000.wav,Pnoepyga pusilla
data\processed\Pellorneum ruficeps\75_seg013.wav,Pellorneum ruficeps
data\processed\Todiramphus chloris\4_seg005.wav,Todiramphus chloris
data\processed\Mystery mystery\19_seg009.wav,Mystery mystery
data\processed\Pomatorhinus ruficollis\32_seg011.wav,Pomatorhinus ruficollis
data\processed\Pellorneum ruficeps\85_seg004.wav,Pellorneum ruficeps
data\processed\Cyornis unicolor\15_seg012.wav,Cyornis unicolor
data\processed\Chelidorhynx hypoxanthus\11_seg010.wav,Chelidorhynx hypoxanthus
data\processed\Cyornis concretus\1_seg000.wav,Cyornis concretus
data\processed\Mystery mystery\370_seg010.wav,Mystery mystery
data\processed\Cuculus micropterus\61_seg002.wav,Cuculus micropterus
data\processed\Mystery mystery\35_seg005.wav,Mystery mystery
data\processed\Mystery mystery\409_seg015.wav,Mystery mystery
data\processed\Pomatorhinus ruficollis\25_seg004.wav,Pomatorhinus ruficollis
data\processed\Glaucidium cuculoides\30_seg021.wav,Glaucidium cuculoides
data\processed\Alcippe cinerea\3_seg001.wav,Alcippe cinerea
data\processed\noise\Centropus_andamanensis__1__seg002.wav,noise
data\processed\Mystery mystery\208_seg001.wav,Mystery mystery
data\processed\Dicrurus andamanensis\19_seg005.wav,Dicrurus andamanensis
data\processed\Phylloscopus forresti\3_seg004.wav,Phylloscopus forresti
data\processed\Pellorneum ruficeps\23_seg023.wav,Pellorneum ruficeps
data\processed\Pomatorhinus ruficollis\39_seg003.wav,Pomatorhinus ruficollis
data\processed\Pellorneum ruficeps\9_seg010.wav,Pellorneum ruficeps
data\processed\noise\Loriculus_vernalis__16__seg001.wav,noise
data\processed\Cyornis unicolor\16_seg025.wav,Cyornis unicolor
data\processed\Mystery mystery\229_seg000.wav,Mystery mystery
data\processed\Mystery mystery\253_seg010.wav,Mystery mystery
data\processed\Cyornis unicolor\19_seg018.wav,Cyornis unicolor
data\processed\noise\Mystery_mystery__250__seg023.wav,noise
data\processed\Riparia chinensis\2_seg002.wav,Riparia chinensis
data\processed\Arborophila torqueola\4_seg004.wav,Arborophila torqueola
data\processed\Mystery mystery\256_seg033.wav,Mystery mystery
data\processed\Mystery mystery\255_seg010.wav,Mystery mystery
data\processed\Pnoepyga pusilla\5_seg016.wav,Pnoepyga pusilla
data\processed\Pellorneum ruficeps\32_seg014.wav,Pellorneum ruficeps
data\processed\Pomatorhinus ruficollis\18_seg004.wav,Pomatorhinus ruficollis
data\processed\Mystery mystery\93_seg014.wav,Mystery mystery
data\processed\Mystery mystery\433_seg024.wav,Mystery mystery
data\processed\Mystery mystery\228_seg008.wav,Mystery mystery
data\processed\noise\Liocichla_phoenicea__2__seg018.wav,noise
data\processed\Mystery mystery\149_seg003.wav,Mystery mystery
data\processed\Mystery mystery\46_seg008.wav,Mystery mystery
data\processed\Pellorneum ruficeps\92_seg000.wav,Pellorneum ruficeps
data\processed\Chloropsis\8_seg000.wav,Chloropsis
data\processed\Pnoepyga pusilla\24_seg004.wav,Pnoepyga pusilla
data\processed\Psilopogon lineatus\20_seg001.wav,Psilopogon lineatus
data\processed\Pellorneum ruficeps\9_seg015.wav,Pellorneum ruficeps
data\processed\Pellorneum ruficeps\5_seg006.wav,Pellorneum ruficeps
data\processed\Loriculus vernalis\27_seg031.wav,Loriculus vernalis
data\processed\Loriculus vernalis\8_seg002.wav,Loriculus vernalis
data\processed\noise\Chloropsis__14__seg114.wav,noise
data\processed\noise\Spelaeornis_oatesi__2__seg004.wav,noise
data\processed\Cyornis unicolor\10_seg032.wav,Cyornis unicolor
data\processed\Chrysococcyx maculatus\1_seg002.wav,Chrysococcyx maculatus
data\processed\noise\Pellorneum_ruficeps__79__seg003.wav,noise
data\processed\noise\Sphenocichla_humei__22__seg000.wav,noise
data\processed\Acridotheres fuscus\4_seg000.wav,Acridotheres fuscus
data\processed\Chelidorhynx hypoxanthus\4_seg010.wav,Chelidorhynx hypoxanthus
data\processed\noise\Mystery_mystery__39__seg031.wav,noise
data\processed\Cyornis unicolor\15_seg009.wav,Cyornis unicolor
data\processed\Loriculus vernalis\17_seg001.wav,Loriculus vernalis
data\processed\Mystery mystery\364_seg002.wav,Mystery mystery
data\processed\Arborophila torqueola\3_seg001.wav,Arborophila torqueola
data\processed\Mystery mystery\364_seg006.wav,Mystery mystery
data\processed\Arborophila torqueola\20_seg008.wav,Arborophila torqueola
data\processed\Mystery mystery\267_seg010.wav,Mystery mystery
data\processed\Mystery mystery\409_seg025.wav,Mystery mystery
data\processed\noise\Glaucidium_cuculoides__8__seg006.wav,noise
data\processed\noise\Spelaeornis_oatesi__5__seg010.wav,noise
data\processed\Alcippe cinerea\16_seg011.wav,Alcippe cinerea
data\processed\noise\Cyornis_poliogenys__21__seg003.wav,noise
data\processed\Chelidorhynx hypoxanthus\9_seg004.wav,Chelidorhynx hypoxanthus
data\processed\Liocichla phoenicea\9_seg001.wav,Liocichla phoenicea
data\processed\Argya longirostris\2_seg001.wav,Argya longirostris
data\processed\Dicrurus andamanensis\11_seg011.wav,Dicrurus andamanensis
data\processed\Mystery mystery\263_seg004.wav,Mystery mystery
data\processed\Rimator malacoptilus\2_seg016.wav,Rimator malacoptilus
data\processed\Pomatorhinus ruficollis\18_seg023.wav,Pomatorhinus ruficollis
data\processed\Mystery mystery\379_seg013.wav,Mystery mystery
data\processed\Mystery mystery\273_seg000.wav,Mystery mystery
data\processed\Centropus andamanensis\5_seg014.wav,Centropus andamanensis
data\processed\Rimator malacoptilus\5_seg018.wav,Rimator malacoptilus
data\processed\Cyornis unicolor\20_seg003.wav,Cyornis unicolor
data\processed\Rimator malacoptilus\18_seg008.wav,Rimator malacoptilus
data\processed\Pellorneum ruficeps\9_seg009.wav,Pellorneum ruficeps
data\processed\noise\Pellorneum_ruficeps__74__seg012.wav,noise
data\processed\Mystery mystery\252_seg000.wav,Mystery mystery
data\processed\Mystery mystery\195_seg000.wav,Mystery mystery
data\processed\Mystery mystery\64_seg000.wav,Mystery mystery
data\processed\Mystery mystery\228_seg001.wav,Mystery mystery
data\processed\Mystery mystery\332_seg008.wav,Mystery mystery
data\processed\Pnoepyga pusilla\29_seg027.wav,Pnoepyga pusilla
data\processed\Mystery mystery\247_seg001.wav,Mystery mystery
data\processed\noise\Chloropsis__2__seg001.wav,noise
